date,startup,vertical,subvertical,city,investors,round,amount
27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,390
07-02-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,1.9
07-02-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,0.25
07-01-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel Round,0.01
07-03-2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,0.1
07-01-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,3.81
07-04-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Angel Round,0.05
07-10-2019,BYJU,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity,15
07-11-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,6
07-10-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,1.6
07-10-2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,0.58
07-10-2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,0.25
07-09-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,0.1
07-08-2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,0.03
06-05-2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,5.1
06-04-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt-Funding,1
06-03-2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,0.9
06-04-2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,7.5
06-04-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,2.6
06-03-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,0.25
06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,2.6
06-10-2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Angel Round,0.04
06-10-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,1.55
06-06-2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,5.2
06-08-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt-Funding,0.36
06-04-2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,0.34
05-06-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture Round,0.09
05-01-2019,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,15
05-02-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,5
28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,5.1
28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Angel Round,14
30-05-2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,1.15
31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,0.56
16-04-2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,4.5
04-12-2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,1.7
04-10-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,0.04
13-04-2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,0.36
04-12-2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Angel Round,0.02
04-11-2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Angel Round,0.35
04-10-2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,0.63
04-10-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,0.24
04-10-2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Angel Round,0.03
04-11-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,2.6
19-04-2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,0.3
17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,0.5
17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,0.3
02-08-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,22.6
13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,0.06
14-02-2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,10
01-03-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,11
