date,startup,vertical,subvertical,city,investors,round,amount
14-11-2017,Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,0.83
15-11-2017,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Angel Round,0.09
15-11-2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,0.3
17-11-2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Angel Round,0.02
20-11-2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Angel Round,0.07
21-11-2017,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Angel Round,0.03
21-11-2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,0.27
21-11-2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Angel Round,0.04
21-11-2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Angel Round,0.03
21-11-2017,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,2.6
21-11-2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,20
24-11-2017,IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,1
24-11-2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Angel Round,0.03
27-11-2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,27
27-11-2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,0.38
28-11-2017,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,1.3
28-11-2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt-Funding,0.15
28-11-2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Angel Round,0.14
28-11-2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,0.2
10-03-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,11
10-04-2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Angel Round,0.03
10-04-2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,3.87
10-05-2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,0.1
10-05-2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Angel Round,0.05
10-05-2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,0.92
10-06-2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,0.31
10-06-2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,0.8
10-06-2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,1
10-06-2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,0.2
10-09-2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,0.27
10-09-2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Angel Round,0.03
10-10-2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,0.14
10-10-2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,0.45
10-11-2017,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,0.31
10-11-2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,0.11
10-12-2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Angel Round,0.02
13-10-2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,7.7
13-10-2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Angel Round,0.03
13-10-2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,0.2
16-10-2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,0.8
16-10-2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,0.92
17-10-2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,0.7
18-10-2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,0.7
18-10-2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,0.77
18-10-2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Angel Round,0.05
23-10-2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,0.7
23-10-2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,0.6
23-10-2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt-Funding,0.31
23-10-2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Angel Round,0.01
24-10-2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Angel Round,0.05
24-10-2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,0.3
24-10-2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Angel Round,0.07
25-10-2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Angel Round,0.06
26-10-2017,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,0.5
27-10-2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt-Funding,0.38
28-10-2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Angel Round,0.01
28-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,0.77
30-10-2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,0.2
31-10-2017,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,1.4
31-10-2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,3.2
09-01-2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,0.1
09-01-2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,0.15
09-01-2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,0.13
09-04-2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,0.56
09-05-2017,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,0.15
09-05-2017,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Angel Round,0.06
09-06-2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,1.08
09-06-2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,1
09-06-2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,0.6
09-06-2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,2.6
09-07-2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,0.5
09-07-2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,25
09-07-2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt-Funding,0.08
09-07-2017,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,0.1
09-08-2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt-Funding,0.69
09-11-2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,3
09-11-2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,0.62
09-12-2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Angel Round,0.01
09-12-2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,1.7
09-12-2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,0.3
13-09-2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,0.2
13-09-2017,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,1
13-09-2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,1.15
13-09-2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Angel Round,0.08
14-09-2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,4.4
14-09-2017,WheelStreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Angel Round,0.01
18-09-2017,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,0.1
19-09-2017,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,5
21-09-2017,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,0.6
21-09-2017,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,0.1
22-09-2017,Yatra.com,eCommerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt-Funding,1.54
25-09-2017,Synup,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,0.6
25-09-2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Angel Round,0.04
25-09-2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Angel Round,0.02
27-09-2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,0.16
27-09-2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,0.1
27-09-2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Angel Round,0.03
28-09-2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,0.1
08-01-2017,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,0.13
08-02-2017,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Angel Round,0.05
08-02-2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Angel Round,0.09
08-03-2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Angel Round,0.03
08-08-2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Angel Round,0.02
08-08-2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Angel Round,0.02
08-09-2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Angel Round,0.31
08-09-2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Angel Round,0.08
08-11-2017,Flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,Private Equity,250
08-11-2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,3.6
14-08-2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Angel Round,0.03
15-08-2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Angel Round,0.04
20-08-2017,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Angel Round,0.02
21-08-2017,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,0.68
21-08-2017,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Angel Round,0.07
23-08-2017,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,8
23-08-2017,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,0.23
23-08-2017,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Angel Round,0.05
24-08-2017,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,1.6
25-08-2017,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Angel Round,0.08
25-08-2017,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Angel Round,0.01
28-08-2017,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,0.7
29-08-2017,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,2.5
29-08-2017,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Angel Round,0.08
30-08-2017,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,3.4
30-08-2017,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,3
07-01-2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Angel Round,0.1
07-03-2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,0.26
07-04-2017,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,2
07-05-2017,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,0.85
07-05-2017,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,1.2
07-05-2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,0.1
07-07-2017,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Angel Round,0.1
07-10-2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,0.3
07-11-2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,0.23
07-11-2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Angel Round,0.05
07-12-2017,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,1.85
14-07-2017,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Angel Round,0.05
14-07-2017,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,0.17
17-07-2017,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Angel Round,0.2
17-07-2017,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,0.4
19-07-2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,1
19-07-2017,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Angel Round,0.06
20-07-2017,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Angel Round,0.07
21-07-2017,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Angel Round,0.02
25-07-2017,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,0.12
25-07-2017,BYJU,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,3.5
26-07-2017,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,2.5
26-07-2017,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Angel Round,0.02
27-07-2017,1mg,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,1.5
28-07-2017,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,0.13
06-02-2017,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Angel Round,0.02
06-05-2017,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,5
06-06-2017,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,0.1
06-06-2017,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,0.12
06-06-2017,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Angel Round,0.1
06-07-2017,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Angel Round,0.07
06-07-2017,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Angel Round,0.06
06-08-2017,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Angel Round,0.02
06-08-2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,0.15
06-08-2017,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,0.15
06-08-2017,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Angel Round,0.04
06-09-2017,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Angel Round,0.03
06-09-2017,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Angel Round,0.03
06-12-2017,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt-Funding,0.78
06-12-2017,Boxx.ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,0.05
06-12-2017,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,0.1
06-12-2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Angel Round,0.08
06-12-2017,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,1.5
13-06-2017,Goodera,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,0.55
14-06-2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,5
14-06-2017,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Angel Round,0.05
15-06-2017,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,1.23
16-06-2017,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,0.1
16-06-2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Angel Round,0.01
16-06-2017,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Angel Round,0.2
19-06-2017,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,1.25
19-06-2017,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,0.4
20-06-2017,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Angel Round,0.03
20-06-2017,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,0.52
21-06-2017,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,0.24
21-06-2017,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,0.45
21-06-2017,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Angel Round,0.02
21-06-2017,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,3.1
22-06-2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,0.46
22-06-2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,0.2
22-06-2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Angel Round,0.05
23-06-2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,0.4
23-06-2017,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Angel Round,0.1
26-06-2017,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,0.5
26-06-2017,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,7.1
26-06-2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,0.4
27-06-2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,0.5
27-06-2017,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Angel Round,0.03
28-06-2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,0.3
28-06-2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,0.2
29-06-2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,0.1
30-06-2017,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,0.5
30-06-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,2.1
05-01-2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,7.37
05-01-2017,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,1
05-02-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Angel Round,0.15
05-02-2017,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,1
05-02-2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Angel Round,0.04
05-03-2017,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,10.45
05-03-2017,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Angel Round,0.1
05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Angel Round,0.02
05-08-2017,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,0.07
05-08-2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Angel Round,0.1
05-08-2017,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,0.5
